,RK,TEAM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YEAR
0,1,Atlanta Hawks,82,19780,38.6,84.3,0.45799999999999996,0.6,2.2,0.251,38.0,82.1,0.46299999999999997,24.5,32.1,0.765,15.5,28.7,44.2,21.6,8.4,6.8,20.4,26.6,102.3,1980
1,2,Portland Trail Blazers,82,19780,41.2,86.3,0.478,0.7,2.3,0.29600000000000004,40.5,84.0,0.483,21.1,28.1,0.752,14.0,29.0,43.0,24.7,9.3,4.9,17.8,23.1,104.3,1980
2,3,Seattle SuperSonics,82,19830,40.5,88.3,0.45899999999999996,0.7,2.9,0.24600000000000002,39.8,85.4,0.466,19.5,25.5,0.764,14.3,28.6,42.9,24.0,8.7,4.7,18.1,23.7,101.2,1980
3,4,Philadelphia 76ers,82,19855,40.4,88.7,0.455,0.9,3.3,0.271,39.5,85.5,0.46299999999999997,19.2,25.2,0.765,15.5,27.6,43.1,24.5,10.3,4.6,18.3,24.6,101.0,1980
4,5,Kansas City Kings,82,19805,39.1,82.1,0.47600000000000003,0.5,2.0,0.23800000000000002,38.6,80.1,0.48200000000000004,22.4,29.3,0.763,13.4,31.0,44.4,20.9,8.2,5.0,20.7,24.3,101.0,1980
5,6,Boston Celtics,82,19880,40.5,86.0,0.47,0.9,3.0,0.28600000000000003,39.6,83.0,0.47700000000000004,20.1,26.1,0.77,13.7,27.0,40.7,22.0,8.1,4.9,19.2,24.2,101.9,1980
6,7,Milwaukee Bucks,82,19805,40.9,88.6,0.462,0.9,3.6,0.249,40.0,85.0,0.47100000000000003,20.3,26.9,0.753,16.1,27.1,43.2,25.5,8.5,4.2,19.4,22.6,102.9,1980
7,8,Phoenix Suns,82,19755,41.3,86.7,0.47600000000000003,1.2,3.4,0.337,40.1,83.2,0.48200000000000004,18.5,24.6,0.752,14.1,28.4,42.4,23.5,10.2,4.5,19.3,23.8,102.2,1980
8,9,Golden State Warriors,82,19880,41.3,83.8,0.493,0.9,2.6,0.32899999999999996,40.4,81.2,0.498,22.9,30.6,0.7490000000000001,12.7,30.8,43.5,25.1,8.6,4.3,17.8,21.4,106.3,1980
9,10,Utah Jazz,82,19805,44.2,89.2,0.496,0.8,2.6,0.318,43.4,86.6,0.501,21.1,27.4,0.772,14.4,28.4,42.8,24.8,8.8,4.9,15.8,22.1,110.4,1980
10,11,Los Angeles Lakers,82,19880,43.2,91.9,0.47,0.9,3.2,0.285,42.3,88.7,0.47700000000000004,16.6,21.9,0.759,15.2,26.0,41.2,27.0,9.2,4.4,16.5,21.6,103.9,1980
11,12,New Jersey Nets,82,19805,39.8,84.9,0.469,0.7,2.4,0.27899999999999997,39.1,82.5,0.474,22.4,29.4,0.7609999999999999,14.7,29.7,44.3,25.0,9.7,5.9,19.3,23.3,102.5,1980
12,13,Washington Bullets,82,19880,42.5,91.4,0.465,0.7,2.5,0.262,41.9,88.9,0.47100000000000003,20.0,25.7,0.777,14.1,31.4,45.5,24.9,8.6,6.1,14.4,22.4,105.7,1980
13,14,Chicago Bulls,82,19905,42.4,85.5,0.496,0.6,2.4,0.271,41.8,83.1,0.503,21.4,27.9,0.768,13.7,27.8,41.5,25.0,10.0,5.9,18.3,26.1,107.0,1980
14,15,Houston Rockets,82,19930,43.5,87.9,0.496,0.7,2.6,0.27,42.9,85.3,0.502,20.2,25.6,0.7879999999999999,15.4,27.6,42.9,26.5,9.3,5.1,19.0,24.4,108.0,1980
15,16,San Diego Clippers,82,19755,45.0,90.0,0.5,0.5,2.2,0.23,44.4,87.7,0.507,19.3,25.0,0.773,14.6,29.8,44.4,24.1,9.2,4.9,16.7,22.6,109.8,1980
