RK,TEAM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YEAR
1,San Antonio Spurs,82,19755,42.8,85.9,0.498,0.6,2.3,0.252,42.2,83.6,0.505,22.5,28.1,0.801,12.8,27.9,40.7,25.8,8.6,3.7,17.6,23.3,108.6,1980
2,Los Angeles Lakers,82,19880,45.2,85.5,0.529,0.2,1.2,0.2,45,84.3,0.534,18.8,24.3,0.775,12.6,30.8,43.4,28,9,6.3,19,20.7,109.5,1980
3,Cleveland Cavaliers,82,19930,43.4,91.7,0.474,0.4,2.1,0.193,43,89.5,0.481,19.4,25.1,0.772,14.9,27.1,42,24,8.7,3.9,15.6,22,106.7,1980
4,New York Knicks,82,19780,43.3,87.4,0.496,0.5,2.2,0.22,42.8,85.2,0.503,19.3,25.9,0.747,14.1,26.2,40.3,25.8,10,5.2,18.4,24.7,106.5,1980
5,Boston Celtics,82,19880,42.6,86.9,0.49,1.9,5,0.384,40.6,81.9,0.496,22.4,28.8,0.779,14.4,28.9,43.3,25.9,9.5,3.6,18.1,23.2,109.4,1980
6,Indiana Pacers,82,19855,42.1,89,0.473,1,3.6,0.28,41.1,85.3,0.481,20.3,27,0.751,16.2,26.9,43.1,24.9,10.4,6.1,17.6,22.8,105.5,1980
7,Phoenix Suns,82,19755,41.4,83.8,0.493,0.8,3.2,0.243,40.6,80.6,0.504,22.1,28.6,0.773,12.4,28.5,40.9,26.5,10.5,4,18.9,21.5,105.6,1980
8,Houston Rockets,82,19930,42.8,89.2,0.48,1.2,4.5,0.274,41.6,84.7,0.491,21.2,27.7,0.766,16.6,26.4,43,25.6,9.3,4.4,18.6,22.9,108.1,1980
9,Milwaukee Bucks,82,19805,43.6,89.3,0.488,0.6,1.8,0.323,43,87.5,0.491,19,24.9,0.764,14.7,28.3,43.1,26.9,9.2,6,17.7,22.9,106.8,1980
10,Philadelphia 76ers,82,19855,41.3,84,0.492,0.3,1.5,0.216,41,82.5,0.497,22,28.5,0.772,13.9,30.9,44.8,26.1,9.3,7.7,20,21.8,105,1980
11,Detroit Pistons,82,19780,41.3,86,0.48,0.6,2.5,0.26,40.6,83.6,0.486,18,24.3,0.74,13.9,27.4,41.2,22.1,8.9,6.4,19.7,23.4,101.2,1980
12,Seattle SuperSonics,82,19830,42.3,89.9,0.47,0.7,2.2,0.312,41.5,87.7,0.474,20.6,26.8,0.768,16.4,30.3,46.7,24.3,8.9,5.1,17.8,22.2,105.8,1980
13,New Jersey Nets,82,19805,39.5,85.7,0.461,1,3.4,0.285,38.5,82.3,0.468,21.5,27.5,0.782,14,29,43,23.9,9.9,6.6,19.4,24.9,101.5,1980
14,Denver Nuggets,82,19830,40.3,87,0.463,1,3,0.325,39.4,84,0.468,21.8,29.6,0.737,15.3,29.4,44.7,24.2,8.7,4.7,17.9,22.3,103.4,1980
15,Kansas City Kings,82,19805,42.1,87.9,0.478,0.3,1.3,0.219,41.8,86.6,0.482,19.6,26.4,0.743,13.9,28.5,42.5,24.9,10.1,4.2,16.9,25.1,104,1980
